2025-07-04 14:05:46,339 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.validator.internal.util.Version |  |  | HV000001: Hibernate Validator 8.0.1.Final
2025-07-04 14:05:49,088 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.c.i.RegionFactoryInitiator |  |  | HHH000026: Second-level cache disabled
2025-07-04 14:05:49,387 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.p.SpringPersistenceUnitInfo |  |  | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-04 14:05:49,428 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Starting...
2025-07-04 14:05:50,005 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.pool.HikariPool |  |  | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@38dbeb39
2025-07-04 14:05:50,009 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Start completed.
2025-07-04 14:05:50,089 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-04 14:05:50,090 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-07-04 14:05:51,278 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.e.t.j.p.i.JtaPlatformInitiator |  |  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-04 14:05:51,488 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.LocalContainerEntityManagerFactoryBean |  |  | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-04 14:05:52,265 | app.version_IS_UNDEFINED | [31mWARN [0;39m | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration |  |  | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-04 14:05:52,543 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.s.web.DefaultSecurityFilterChain |  |  | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@e1d2781, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c00da24, org.springframework.security.web.context.SecurityContextHolderFilter@51d26fed, org.springframework.security.web.header.HeaderWriterFilter@30b0d5a7, org.springframework.web.filter.CorsFilter@430dbcb0, org.springframework.security.web.authentication.logout.LogoutFilter@3e356ed6, com.example.backendtemplate.filter.JwtRequestFilter@1e7797db, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@335a45a8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@294c36b9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@726d0482, org.springframework.security.web.access.ExceptionTranslationFilter@36a7586f, org.springframework.security.web.access.intercept.AuthorizationFilter@2e2a2b07]
2025-07-04 14:05:52,902 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Starting ProtocolHandler ["http-nio-80"]
2025-07-04 14:05:52,928 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat started on port 80 (http) with context path ''
2025-07-04 14:05:52,937 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Started BackendTemplateApplication in 7.252 seconds (process running for 7.716)
2025-07-04 14:35:36,996 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.validator.internal.util.Version |  |  | HV000001: Hibernate Validator 8.0.1.Final
2025-07-04 14:35:37,049 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Starting BackendTemplateApplication using Java 21.0.1 with PID 38988 (D:\home\SpringbootBackendTemplate\build\classes\java\main started by direc in D:\home\SpringbootBackendTemplate)
2025-07-04 14:35:37,051 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | The following 1 profile is active: "local"
2025-07-04 14:35:37,921 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-04 14:35:38,043 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Finished Spring Data repository scanning in 112 ms. Found 5 JPA repository interfaces.
2025-07-04 14:35:38,737 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat initialized with port 80 (http)
2025-07-04 14:35:38,750 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Initializing ProtocolHandler ["http-nio-80"]
2025-07-04 14:35:38,754 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardService |  |  | Starting service [Tomcat]
2025-07-04 14:35:38,754 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardEngine |  |  | Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-07-04 14:35:38,873 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.c.c.C.[Tomcat].[localhost].[/] |  |  | Initializing Spring embedded WebApplicationContext
2025-07-04 14:35:38,874 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.s.c.ServletWebServerApplicationContext |  |  | Root WebApplicationContext: initialization completed in 1772 ms
2025-07-04 14:35:39,058 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.jpa.internal.util.LogHelper |  |  | HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-04 14:35:39,173 | app.version_IS_UNDEFINED | [34mINFO [0;39m | org.hibernate.Version |  |  | HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-04 14:35:39,218 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.c.i.RegionFactoryInitiator |  |  | HHH000026: Second-level cache disabled
2025-07-04 14:35:39,438 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.p.SpringPersistenceUnitInfo |  |  | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-04 14:35:39,470 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Starting...
2025-07-04 14:35:39,807 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.pool.HikariPool |  |  | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@10f20d38
2025-07-04 14:35:39,810 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Start completed.
2025-07-04 14:35:39,857 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-04 14:35:39,859 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-07-04 14:35:40,800 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.e.t.j.p.i.JtaPlatformInitiator |  |  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-04 14:35:40,888 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.LocalContainerEntityManagerFactoryBean |  |  | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-04 14:35:41,466 | app.version_IS_UNDEFINED | [31mWARN [0;39m | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration |  |  | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-04 14:35:41,713 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.s.web.DefaultSecurityFilterChain |  |  | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3e356ed6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@403b7be3, org.springframework.security.web.context.SecurityContextHolderFilter@7337f87e, org.springframework.security.web.header.HeaderWriterFilter@3c070ade, org.springframework.web.filter.CorsFilter@2a5d9ede, org.springframework.security.web.authentication.logout.LogoutFilter@5d3f583d, com.example.backendtemplate.filter.JwtRequestFilter@3792fed8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66831b14, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4f1ea463, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@39e91bda, org.springframework.security.web.access.ExceptionTranslationFilter@62818ab0, org.springframework.security.web.access.intercept.AuthorizationFilter@7bc239db]
2025-07-04 14:35:41,988 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Starting ProtocolHandler ["http-nio-80"]
2025-07-04 14:35:42,011 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat started on port 80 (http) with context path ''
2025-07-04 14:35:42,020 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Started BackendTemplateApplication in 5.679 seconds (process running for 6.075)
2025-07-04 14:39:32,936 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.validator.internal.util.Version |  |  | HV000001: Hibernate Validator 8.0.1.Final
2025-07-04 14:39:33,018 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Starting BackendTemplateApplication using Java 21.0.1 with PID 39648 (D:\home\SpringbootBackendTemplate\build\classes\java\main started by direc in D:\home\SpringbootBackendTemplate)
2025-07-04 14:39:33,022 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | The following 1 profile is active: "local"
2025-07-04 14:39:34,358 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-04 14:39:34,500 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Finished Spring Data repository scanning in 126 ms. Found 5 JPA repository interfaces.
2025-07-04 14:39:35,442 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat initialized with port 80 (http)
2025-07-04 14:39:35,456 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Initializing ProtocolHandler ["http-nio-80"]
2025-07-04 14:39:35,460 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardService |  |  | Starting service [Tomcat]
2025-07-04 14:39:35,461 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardEngine |  |  | Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-07-04 14:39:35,555 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.c.c.C.[Tomcat].[localhost].[/] |  |  | Initializing Spring embedded WebApplicationContext
2025-07-04 14:39:35,556 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.s.c.ServletWebServerApplicationContext |  |  | Root WebApplicationContext: initialization completed in 2451 ms
2025-07-04 14:39:35,758 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.jpa.internal.util.LogHelper |  |  | HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-04 14:39:35,851 | app.version_IS_UNDEFINED | [34mINFO [0;39m | org.hibernate.Version |  |  | HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-04 14:39:35,900 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.c.i.RegionFactoryInitiator |  |  | HHH000026: Second-level cache disabled
2025-07-04 14:39:36,175 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.p.SpringPersistenceUnitInfo |  |  | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-04 14:39:36,210 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Starting...
2025-07-04 14:39:36,584 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.pool.HikariPool |  |  | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@59371066
2025-07-04 14:39:36,586 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Start completed.
2025-07-04 14:39:36,643 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-04 14:39:36,644 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-07-04 14:39:37,677 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.e.t.j.p.i.JtaPlatformInitiator |  |  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-04 14:39:37,759 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.LocalContainerEntityManagerFactoryBean |  |  | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-04 14:39:38,469 | app.version_IS_UNDEFINED | [31mWARN [0;39m | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration |  |  | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-04 14:39:38,753 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.s.web.DefaultSecurityFilterChain |  |  | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@374013e8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@712dd0b0, org.springframework.security.web.context.SecurityContextHolderFilter@66487713, org.springframework.security.web.header.HeaderWriterFilter@66831b14, org.springframework.web.filter.CorsFilter@6b3284, org.springframework.security.web.authentication.logout.LogoutFilter@34f3c920, com.example.backendtemplate.filter.JwtRequestFilter@4e312811, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@22ea09b7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13f255ed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@500beb9f, org.springframework.security.web.access.ExceptionTranslationFilter@7337f87e, org.springframework.security.web.access.intercept.AuthorizationFilter@39e91bda]
2025-07-04 14:39:39,080 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Starting ProtocolHandler ["http-nio-80"]
2025-07-04 14:39:39,106 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat started on port 80 (http) with context path ''
2025-07-04 14:39:39,117 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Started BackendTemplateApplication in 6.783 seconds (process running for 7.178)
2025-07-04 14:39:45,514 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.validator.internal.util.Version |  |  | HV000001: Hibernate Validator 8.0.1.Final
2025-07-04 14:39:45,565 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Starting BackendTemplateApplication using Java 21.0.1 with PID 21912 (D:\home\SpringbootBackendTemplate\build\classes\java\main started by direc in D:\home\SpringbootBackendTemplate)
2025-07-04 14:39:45,567 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | The following 1 profile is active: "local"
2025-07-04 14:39:46,377 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-04 14:39:46,471 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.d.r.c.RepositoryConfigurationDelegate |  |  | Finished Spring Data repository scanning in 82 ms. Found 5 JPA repository interfaces.
2025-07-04 14:39:47,280 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat initialized with port 80 (http)
2025-07-04 14:39:47,297 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Initializing ProtocolHandler ["http-nio-80"]
2025-07-04 14:39:47,300 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardService |  |  | Starting service [Tomcat]
2025-07-04 14:39:47,301 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.catalina.core.StandardEngine |  |  | Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-07-04 14:39:47,395 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.c.c.C.[Tomcat].[localhost].[/] |  |  | Initializing Spring embedded WebApplicationContext
2025-07-04 14:39:47,397 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.s.c.ServletWebServerApplicationContext |  |  | Root WebApplicationContext: initialization completed in 1774 ms
2025-07-04 14:39:47,574 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.jpa.internal.util.LogHelper |  |  | HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-04 14:39:47,650 | app.version_IS_UNDEFINED | [34mINFO [0;39m | org.hibernate.Version |  |  | HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-04 14:39:47,714 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.c.i.RegionFactoryInitiator |  |  | HHH000026: Second-level cache disabled
2025-07-04 14:39:48,006 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.p.SpringPersistenceUnitInfo |  |  | No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-04 14:39:48,061 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Starting...
2025-07-04 14:39:48,482 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.pool.HikariPool |  |  | HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@22e813fc
2025-07-04 14:39:48,484 | app.version_IS_UNDEFINED | [34mINFO [0;39m | com.zaxxer.hikari.HikariDataSource |  |  | HikariPool-1 - Start completed.
2025-07-04 14:39:48,532 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-04 14:39:48,535 | app.version_IS_UNDEFINED | [31mWARN [0;39m | org.hibernate.orm.deprecation |  |  | HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-07-04 14:39:49,690 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.h.e.t.j.p.i.JtaPlatformInitiator |  |  | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-04 14:39:49,776 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.o.j.LocalContainerEntityManagerFactoryBean |  |  | Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-04 14:39:50,440 | app.version_IS_UNDEFINED | [31mWARN [0;39m | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration |  |  | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-04 14:39:50,662 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.s.web.DefaultSecurityFilterChain |  |  | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@21f27bb5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e2a2b07, org.springframework.security.web.context.SecurityContextHolderFilter@30b0d5a7, org.springframework.security.web.header.HeaderWriterFilter@13f255ed, org.springframework.web.filter.CorsFilter@52dc71b2, org.springframework.security.web.authentication.logout.LogoutFilter@5924ea91, com.example.backendtemplate.filter.JwtRequestFilter@75aeec0a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d84f113, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@51d26fed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e1d2781, org.springframework.security.web.access.ExceptionTranslationFilter@18ed8b75, org.springframework.security.web.access.intercept.AuthorizationFilter@67e37d25]
2025-07-04 14:39:50,900 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.a.coyote.http11.Http11NioProtocol |  |  | Starting ProtocolHandler ["http-nio-80"]
2025-07-04 14:39:50,922 | app.version_IS_UNDEFINED | [34mINFO [0;39m | o.s.b.w.e.tomcat.TomcatWebServer |  |  | Tomcat started on port 80 (http) with context path ''
2025-07-04 14:39:50,931 | app.version_IS_UNDEFINED | [34mINFO [0;39m | c.e.b.BackendTemplateApplication |  |  | Started BackendTemplateApplication in 5.918 seconds (process running for 6.282)
